Species	Specimen_ID	Soma_Volume	Soma_Surface_Area	Soma_Radius
Human	539661667	4510.076795407694	1320.0997508364471	10.2494
Human	531526539	1043.4094149547225	497.4933637737075	6.292
Human	530081951	544.4791939863002	322.4568820986459	5.0656
Human	571429412	1841.1746599000026	726.4640326831781	7.6033
Human	537204107	1288.02032897963	572.4874047260415	6.7496
Human	541540569	2419.330018518081	871.5270422980875	8.3279
Human	508305938	2455.6789261681347	880.2347573905421	8.3694
Human	525133308	881.8134396270692	444.7015059980513	5.9488
Human	529898751	2645.760161887444	925.0909656949106	8.58
Human	537266147	1494.6577253032556	632.1866083788865	7.0928
Human	596887423	639.6701919364912	359.02238981674304	5.3451
Human	528022041	4591.216674724989	1335.8857498836107	10.3105
Human	531517732	1664.0383265773573	679.0884453874295	7.3512
Human	614651270	3894.018532026408	1196.9687178990362	9.7597
Human	569100745	1010.9180671678415	487.11117916857125	6.226
Human	569820026	781.7108138885874	410.37560663314355	5.7146
Human	569825715	527.5987409981864	315.7572212569193	5.0127
Human	596036453	896.4352599249049	449.6039086808852	5.9815
Human	541545716	881.4132688200258	444.56695749089215	5.9479
Human	527941296	2601.2378577770946	914.6834794565244	8.5316
Human	576120017	1605.4551571245395	663.0550353630445	7.2639
Human	526725807	1423.4957921312568	611.957952595691	6.9784
Human	526727406	1382.5268772504303	600.1592625674728	6.9108
Human	571642127	1481.9238902009395	628.5908535196135	7.0726
Human	539537094	2301.968556321412	843.1089816828513	8.191
Human	528602977	829.7746813171251	427.0292043694678	5.8294
Human	528687520	4883.4884478573285	1391.9946548696398	10.5248
Human	529845713	2891.7806191405543	981.5844873243867	8.8381
Human	643575207	2155.8590629863916	807.0449080920869	8.0139
Human	571624971	8559.184871777486	2023.5117431071476	12.6896
Human	571464200	643.8438963910098	360.5823901232157	5.3567
Human	569820130	590.3036064419722	340.3045445388875	5.2039
Human	545604343	1301.8665971943233	576.5829297995143	6.7737
Human	571525618	628.6404096693551	354.88337454519313	5.3142
Human	571624532	1973.383985904913	760.8374082989216	7.7811
Human	596052605	2674.262194497323	931.7229242096427	8.6107
Human	508378649	933.6719066579368	461.96987069102295	6.0632
Human	595568262	542.2572707957789	321.57902472717035	5.0587
Human	508417989	3831.9887755617824	1184.2233226220021	9.7076
Human	537261100	1724.5858841625168	695.4629672801943	7.4393
Human	611623402	2543.0460541684574	900.990630351978	8.4675
Human	571527806	1188.8898612984613	542.7233914445637	6.5718
Human	542137330	1487.7774754721431	630.2450509632203	7.0819
Human	571691416	2892.9586804630703	981.8510562362643	8.8393
