	specimen_id	dendrite_type	cell_firing_rate	threshold_i_long_square	sweep_number	sweep_FR	stimulus_absolute_amplitude	nm_volume
5714	569958754	sparsely spiny	35.1153485996424	30.0	34	8.000160003200063	29.9999990127642	3111.382093742089
5715	569958754	sparsely spiny	35.1153485996424	30.0	35	8.000160003200063	29.9999990127642	3111.382093742089
5716	569958754	sparsely spiny	35.1153485996424	30.0	36	29.00058001160023	69.9999988529321	3111.382093742089
5717	569958754	sparsely spiny	35.1153485996424	30.0	37	27.000540010800215	69.9999988529321	3111.382093742089
5718	569958754	sparsely spiny	35.1153485996424	30.0	38	27.000540010800215	69.9999988529321	3111.382093742089
5719	569958754	sparsely spiny	35.1153485996424	30.0	39	27.000540010800215	69.9999988529321	3111.382093742089
5730	569965244	sparsely spiny	18.584515818702602	90.0	50	1.000020000400008	90.0000005077395	4763.418043190593
5731	569965244	sparsely spiny	18.584515818702602	90.0	51	8.000160003200063	110.000002162547	4763.418043190593
5732	569965244	sparsely spiny	18.584515818702602	90.0	53	21.00042000840017	149.999998533268	4763.418043190593
5733	569965244	sparsely spiny	18.584515818702602	90.0	54	28.000560011200225	170.000000188075	4763.418043190593
5734	569965244	sparsely spiny	18.584515818702602	90.0	55	33.00066001320027	190.000001842883	4763.418043190593
5735	569965244	sparsely spiny	18.584515818702602	90.0	57	47.00094001880038	230.000005152498	4763.418043190593
5739	569965244	sparsely spiny	18.584515818702602	90.0	61	3.000060001200024	110.000002162547	4763.418043190593
5740	569965244	sparsely spiny	18.584515818702602	90.0	62	5.00010000200004	110.000002162547	4763.418043190593
5741	569965244	sparsely spiny	18.584515818702602	90.0	64	8.000160003200063	110.000002162547	4763.418043190593
5743	569965244	sparsely spiny	18.584515818702602	90.0	66	1.000020000400008	100.000001335143	4763.418043190593
5744	569965244	sparsely spiny	18.584515818702602	90.0	67	2.000040000800016	100.000001335143	4763.418043190593
5745	569965244	sparsely spiny	18.584515818702602	90.0	68	3.000060001200024	100.000001335143	4763.418043190593
5746	569965244	sparsely spiny	18.584515818702602	90.0	69	3.000060001200024	100.000001335143	4763.418043190593
5747	569965244	sparsely spiny	18.584515818702602	90.0	70	18.000360007200143	139.999997705864	4763.418043190593
5748	569965244	sparsely spiny	18.584515818702602	90.0	71	18.000360007200143	139.999997705864	4763.418043190593
5749	569965244	sparsely spiny	18.584515818702602	90.0	72	19.000380007600153	139.999997705864	4763.418043190593
5750	569965244	sparsely spiny	18.584515818702602	90.0	73	18.000360007200143	139.999997705864	4763.418043190593
